card_id,customer_id,card_num,card_type
1e067c13-1c62-4405-a2f4-8f523d11ad79,1,5310766203014386,mastercard
3f988bb8-3a35-426c-865b-19ec42409874,2,4041590495257852,visa
7574dbfb-a36d-421a-8661-631ca78ef219,3,5010122319282173,mastercard
2d7d790b-3eae-49b0-89f3-00093449cd66,4,4041378054498,visa
7b14102c-d571-41e8-87b7-cea0c2fbd3ef,5,374288145327754,americanexpress
fd8337c0-e6b0-428f-8107-a43cd21d2a68,6,4041590280103,visa
3137ccb5-ef22-467e-b8b0-3dc5e9b1d36e,7,4614473107500,visa
1f09f9f3-d325-48ae-a250-79332c7d3166,8,5523252006455772,mastercard
7a80fbed-c56b-44fa-a8d0-ed771ec4be6f,9,5048378289047642,mastercard
76af8387-90fc-414f-a68f-c940f00e2deb,10,4041370401473,visa
6f4629fc-4abe-488b-be32-bb5a90faa686,11,5007669324047434,mastercard
87657ef4-0ba6-40d8-846f-9ff5d2a0d4fe,12,4384824320216,visa
76f2393b-62fd-441a-a2d5-a9ad3505ac30,13,5010128754180517,mastercard
2bbdab07-e365-40e8-b752-6a0317958e67,14,5112804813196895,mastercard
936c7731-a945-489b-a57a-c0de342434be,15,5100133254009597,mastercard
7ea969ac-2431-4413-b49b-a33b409dad31,16,4404685547978,visa
c94be819-c43b-4990-a5f0-866e06e39212,17,5153761582600244,mastercard
44f8a099-74d9-4eae-a45b-4522456cb912,18,372301834806913,americanexpress
ec7793fa-7d41-4e8e-b821-eb8fc8a87c08,19,5002351533396259,mastercard
7203aaca-d0f5-4c0b-93e1-786a5030560e,20,337941624241609,americanexpress
2f5cb2e7-e8f7-438c-9738-ee11a6ac0443,21,373811284127684,americanexpress
3568e40e-a357-424b-8dea-eb06e445fe33,22,372301112930443,americanexpress
73d4c329-b316-4378-9db7-63c35247ee6c,23,5314759868013906,mastercard
83f85de0-a277-4581-90e5-f3bfbe9c1ba8,24,374288881597123,americanexpress
c3a2e7f7-435f-4c3d-89bc-66664aefc3ee,25,374622238912884,americanexpress
1a230efe-4735-4e3d-8692-3858afc0f2c5,26,372312803347292,americanexpress
96e2a7dc-e647-4361-8c6c-1f53c9a9eafa,27,5266029232064599,mastercard
ff3665c0-087a-49a1-923a-980b5e59e104,28,4154302853271,visa
00507446-7ac9-46c9-a122-936aa919ecb3,29,4610675437059,visa
730a2ae8-c300-423a-8a90-c059a6dac168,30,4980128701355,visa
ac96a379-55d8-45b6-8e8e-b0bb3537acbe,31,5233943590694252,mastercard
5fb74189-25e7-49af-a9b8-deb342a12273,32,374288301996475,americanexpress
10a901bf-1a35-4b81-8e33-cec301f89a65,33,4041597946243,visa
9687baca-96ac-423e-ab7f-27b7730db2b5,34,5010121630254283,mastercard
4002edf5-a35c-423a-92f5-06e12858c0d1,35,5139330170142487,mastercard
05ff2322-ce42-44a4-8c3f-68d2ffcb5e61,36,372301121364675,americanexpress
474fa82a-794e-4233-b17a-00b62bec25ba,37,5.10015E+15,mastercard
e5a83966-5217-454d-8fa3-42f5fe0df0bc,38,374288218407889,americanexpress
682d8018-dedf-430f-9104-590b21758d25,39,5002359770536032,mastercard
f399f8e4-d1ab-403a-8070-76f76eab66a4,40,372301839496553,americanexpress
999b1f7f-fa86-43be-92e8-a193a50d9c05,41,4041591494296743,visa
3eb17bef-af92-442e-b8c8-6833ad836ecd,42,5007664732181578,mastercard
8cb98f13-0d09-4d54-9453-3988a14efb32,43,4041592783773,visa
b4dc7bcf-a656-4d5a-97f0-7d65254f3a98,44,4041371976697,visa
fd10b172-aba8-4ea8-8c6d-b82c5301d069,45,344785119427152,americanexpress
de81b594-bdf5-4830-8776-cc1e4c60a9c4,46,5108757805804247,mastercard
201fd855-a9c1-4bfe-aaae-633e6dfdbb8b,47,4041373170612,visa
afadc66b-2c86-41d4-9bfe-f6f41787771a,48,5010123442908528,mastercard
fc8c083a-84ee-4279-8e23-64f0a88d2a04,49,4734623838695,visa
e00a9369-8154-47ac-b1c6-a83b7d72d0d1,50,5010125570333833,mastercard
a2fe9d6b-fd5d-4c9a-9615-470b80717acf,51,5010123016275353,mastercard
2db50926-5df6-4d98-bad3-6dec58be8be5,52,337941899017114,americanexpress
75bbfc6f-11a3-4f19-9774-441d944058f8,53,374288182479054,americanexpress
08a50f8d-f69f-49a2-b513-c6fa898068f5,54,374288187175228,americanexpress
ef1335f4-e9a5-486e-bf29-99b4f0858748,55,4041371897688238,visa
52a6274f-5a8b-47de-a8fd-eb2d90cadf38,56,5205734611813284,mastercard
413ab538-4674-4acd-9e90-2cc75ab9099f,57,4041598589904156,visa
449b7cab-7e82-481d-a0e3-08d8f7e24ae2,58,374288399220481,americanexpress
3237b3b9-3b04-4c8a-9e0d-5b5fd1771d4f,59,5007668193047749,mastercard
48be400e-48b1-4934-b22c-e66600cf2a48,60,372301603919251,americanexpress
21116311-85a3-4457-ab7b-360affc9df91,61,374288035012730,americanexpress
3858e21d-4257-491f-9253-3305551722d7,62,5322796225032682,mastercard
7cabf0b0-8d87-4ca5-8720-9fda47b7bdcc,63,4041372869277299,visa
